yyyymm,CI_先行指数,CI_一致指数,CI_遅行指数,DI_先行指数,DI_一致指数,DI_遅行指数
200206,99.9,101.6,90.4,63.6,80.0,33.3
200207,100.1,102.1,90.8,63.6,90.0,55.6
200208,100.5,103.2,90.5,45.5,50.0,44.4
200209,99.4,103.7,91.3,45.5,100.0,50.0
200210,100.2,103.6,91.5,40.9,70.0,44.4
200211,100.3,104.3,91.8,54.5,70.0,55.6
200212,99.3,103.5,92.5,72.7,40.0,77.8
200301,99.9,104.1,92.6,45.5,70.0,44.4
200302,100.3,105.1,93.0,63.6,75.0,61.1
200303,100.1,105.1,93.6,54.5,80.0,61.1
200304,100.0,104.3,93.4,54.5,60.0,66.7
200305,101.0,104.9,94.3,54.5,45.0,61.1
200306,101.6,105.2,95.0,63.6,50.0,66.7
200307,102.8,105.7,95.8,63.6,80.0,77.8
200308,102.7,105.9,96.4,54.5,55.0,66.7
200309,104.8,107.8,96.5,77.3,80.0,77.8
200310,106.7,110.0,97.5,81.8,90.0,88.9
200311,105.1,109.4,97.8,72.7,80.0,66.7
200312,106.2,111.4,98.7,63.6,100.0,66.7
200401,108.0,112.9,99.9,72.7,90.0,72.2
200402,108.1,112.7,100.1,90.9,90.0,77.8
200403,110.0,112.8,100.2,72.7,60.0,66.7
200404,110.6,114.0,101.7,68.2,70.0,55.6
200405,111.5,113.9,102.5,81.8,80.0,77.8
200406,111.0,114.6,102.3,59.1,80.0,83.3
200407,113.0,116.0,102.6,68.2,80.0,61.1
200408,112.0,114.9,102.8,63.6,65.0,72.2
200409,112.4,115.0,103.7,54.5,70.0,94.4
200410,112.6,114.4,103.2,45.5,20.0,61.1
200411,112.8,115.8,103.5,63.6,60.0,55.6
200412,113.3,114.6,103.4,50.0,20.0,44.4
200501,112.8,115.6,103.7,54.5,80.0,61.1
200502,112.2,114.5,103.3,45.5,25.0,50.0
200503,113.5,115.7,104.5,59.1,90.0,55.6
200504,114.1,117.1,104.4,72.7,80.0,77.8
200505,112.9,115.9,104.6,54.5,70.0,66.7
200506,113.3,116.4,105.3,54.5,90.0,66.7
200507,114.4,115.8,104.5,45.5,30.0,38.9
200508,114.9,116.6,105.7,81.8,80.0,66.7
200509,114.5,116.9,106.1,63.6,85.0,77.8
200510,116.2,117.3,105.3,63.6,90.0,72.2
200511,117.5,118.2,105.6,54.5,70.0,55.6
200512,117.5,118.9,105.9,77.3,90.0,55.6
200601,118.2,119.5,105.8,54.5,100.0,61.1
200602,119.0,119.9,107.2,72.7,90.0,72.2
200603,117.0,120.3,107.3,63.6,70.0,77.8
200604,119.2,120.8,108.1,54.5,60.0,83.3
200605,118.8,121.1,108.5,54.5,70.0,72.2
200606,117.0,121.3,109.0,54.5,70.0,88.9
200607,116.3,121.7,109.9,36.4,80.0,77.8
200608,118.1,122.1,109.6,36.4,65.0,66.7
200609,116.9,121.8,109.7,54.5,70.0,61.1
200610,117.2,122.3,110.5,59.1,75.0,61.1
200611,118.0,122.2,111.1,54.5,50.0,66.7
200612,117.8,122.1,111.5,54.5,70.0,77.8
200701,117.8,122.2,111.9,81.8,45.0,72.2
200702,118.5,122.3,111.3,50.0,50.0,33.3
200703,117.7,121.7,111.3,45.5,30.0,55.6
200704,118.0,122.7,112.4,45.5,60.0,44.4
200705,117.5,123.3,112.4,27.3,70.0,77.8
200706,117.0,123.0,112.7,45.5,90.0,77.8
200707,117.0,122.0,113.3,45.5,40.0,88.9
200708,114.8,123.3,113.4,22.7,50.0,72.2
200709,113.8,121.9,113.5,18.2,50.0,61.1
200710,115.7,122.8,113.9,27.3,60.0,66.7
200711,114.0,121.7,115.2,45.5,50.0,66.7
200712,113.4,121.9,115.0,50.0,65.0,77.8
200801,113.4,121.2,114.4,45.5,30.0,77.8
200802,113.8,121.4,114.8,45.5,60.0,44.4
200803,111.4,120.7,114.9,45.5,20.0,38.9
200804,111.6,119.8,112.9,27.3,30.0,11.1
200805,111.2,120.1,112.6,45.5,40.0,22.2
200806,109.9,117.5,111.7,36.4,20.0,22.2
