,,,,,,,,,,,類・品目符号,0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
,,,,,,,,,,,類・品目,総合,財,生鮮食品を除く財,農水畜産物,生鮮商品,他の農水畜産物,米類,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,持家の帰属家賃を除くサービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
,,,,,,,,,,,ウエイト(2020年指数以降),10000,4341,3956,662,614,48,48,3085,1396,377,61,1251,484,110,5659,3658,1101,19,62,318,307,304,21,71,4557,515,391,- ,- ,2000,- ,- ,1650,438,40,438,735,520,664,3158,1616
,,,,,,,,,,,品目数(2020年指数以降),582,442,382,72,70,2,2,359,145,65,3,146,3,8,140,139,40,2,2,8,3,18,2,5,100,23,1,- ,- ,1,- ,- ,75,32,4,10,29,41,107,294,46
,,,,,,,,,,,表章項目,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比
,,,,,,,時間軸コード,年月,地域コード,地域,単位,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％
d02-2,1986DD      ,7.0,1.0,,17.0,,1986100000,1986年度,13100,東京都区部,,0.3,-1.5,-0.8,-3.9,-4.8,0.6,0.6,0,0.1,1.9,-15.2,1.3,-7.9,4.3,2.2,2.2,1.2,- ,3.3,1.7,2.2,0.3,6.7,0,2.5,1.7,1.9,- ,- ,2.2,- ,- ,3,1.6,6.3,2.8,3.3,-0.7,1.2,-2.4,-0.4
d02-2,1987DD      ,7.0,1.0,,18.0,,1987100000,1987年度,13100,東京都区部,,0.9,-0.4,-1,1,1.4,-0.5,-0.5,-0.4,-0.3,-0.6,-1.5,-0.5,-4.8,1,2.1,1.8,1,- ,3.6,1.4,1.3,0.2,3.9,0,2.4,1.5,3,- ,- ,3.1,- ,- ,2.5,2,0.7,3.6,1.9,-2,-0.2,-0.4,-0.5
d02-2,1988DD      ,7.0,1.0,,19.0,,1988100000,1988年度,13100,東京都区部,,1.1,0.6,0.2,2.4,3.1,-1,-1,0.3,0.4,2.2,-5.4,-0.2,-1.3,1.5,1.6,1.7,0.4,- ,5,0.8,-0.7,0.1,3.7,0,1.9,1.4,1,- ,- ,1.2,- ,- ,3,2.1,1.9,3.5,2.7,-1.6,1.8,0.6,-0.1
d02-2,1989DD      ,7.0,1.0,,20.0,,1989100000,1989年度,13100,東京都区部,,3.2,2.6,2.5,3.6,3.8,2.6,2.5,2.6,3.1,5.7,3.9,-0.3,-1.5,8.3,3.7,3.8,1.9,- ,7.4,1.5,0.6,1.8,1.2,3.2,4.2,5.2,2.8,- ,- ,3.6,- ,- ,4.4,4.9,1.4,3.1,4.8,-3.1,4.8,2.6,1
d02-2,1990DD      ,7.0,1.0,,21.0,,1990100000,1990年度,13100,東京都区部,,3.2,3.4,2.4,7.6,9.2,0.2,0.1,2.7,3.1,4.2,7.9,0.2,0,1.8,3,3.1,1.7,- ,5.7,1.3,0.8,-0.2,2,28.6,3.3,2.5,2.5,- ,- ,2.5,- ,- ,4.5,3.6,7.2,5,4.6,-0.2,3.6,3.9,1.1
d02-2,1991DD      ,7.0,1.0,,22.0,,1991100000,1991年度,13100,東京都区部,,3,3.2,2.7,4.6,5.2,0.9,0.9,3.1,3.5,5.6,0.3,1.4,0,4.6,2.7,2.4,0.8,- ,4.3,0.7,0.5,0.1,1.9,0,3.3,2.5,3.1,- ,- ,3.5,- ,- ,3.5,5.8,1.3,3,2.3,0,5,3,0.5
d02-2,1992DD      ,7.0,1.0,,23.0,,1992100000,1992年度,13100,東京都区部,,1.6,0.2,1.2,-3.9,-5,3.1,3.2,1.1,2.2,0.5,-1.6,0.5,0,7.1,3.1,3.4,1.8,- ,3.2,1.2,4.2,0.8,4.7,0,3.4,2.8,3.2,- ,- ,2.8,- ,- ,4.5,6.6,7.9,3.7,3.8,-0.6,1,0,1.3
d02-2,1993DD      ,7.0,1.0,,24.0,,1993100000,1993年度,13100,東京都区部,,1.2,0,-0.3,2.5,1.7,6.8,6.2,-0.7,0.5,-2.1,-0.5,-0.9,-0.6,2.2,2.6,1.9,0.3,- ,2.8,0.4,1,-0.9,3.2,0,3.2,1.5,2.3,- ,- ,4.5,- ,- ,3.1,2.1,0,3.5,3.3,-2.5,-1.1,0.8,0.3
d02-2,1994DD      ,7.0,1.0,,25.0,,1994100000,1994年度,13100,東京都区部,,0.4,-0.8,-0.6,-1.3,-2,2.5,2.1,-1.1,0,-2.5,-3.2,-1.4,1.3,4.2,1.4,1.4,1.2,- ,5.2,4,1.2,-0.4,2.7,0,1.5,0.8,1.1,- ,- ,1.6,- ,- ,2,1.3,2.5,2.8,1.1,-3,-1.4,-0.2,1.1
d02-2,1995DD      ,7.0,1.0,,26.0,,1995100000,1995年度,13100,東京都区部,,-0.4,-1.4,-1.1,-4.5,-3.6,-9.4,-9.4,-0.9,-0.1,-0.2,-6.4,-1.7,0.2,0.8,0.7,1,3.3,- ,9.5,2.1,0.1,2.8,1.2,0,-0.1,-0.8,-0.3,- ,- ,-0.4,- ,- ,0.8,0.7,1.3,2.3,-0.9,-4,0,-1.6,1.8
d02-2,1996DD      ,7.0,1.0,,27.0,,1996100000,1996年度,13100,東京都区部,,0.1,-0.5,-0.6,0.9,1.2,-0.6,-0.5,-1,-0.3,0.1,-2.3,-2,-0.1,0.6,0.4,0.7,1.1,- ,2.8,0.3,1.4,0.2,2.5,0,0.3,0.4,-0.2,- ,- ,-0.1,- ,- ,0.8,-0.1,4.3,2.5,-0.2,-4,-0.3,0,-0.6
d02-2,1997DD      ,7.0,1.0,,28.0,,1997100000,1997年度,13100,東京都区部,,1.8,1.7,1.7,1.8,2.4,-2.4,-2.5,1.3,1.8,2.7,0.4,0.2,3.4,2.9,2,2.3,3.2,- ,0.8,0.5,18.1,1.2,2.5,1.5,1.5,3.4,0.2,- ,- ,0.9,- ,- ,2,1.1,4.4,1.3,3.4,-1.6,2.6,1.8,2.6
d02-2,1998DD      ,7.0,1.0,,29.0,,1998100000,1998年度,13100,東京都区部,,0.3,0.2,-0.5,3,3.6,-0.8,-0.7,-0.2,0,1.1,-5.2,-0.9,-2.6,0.5,0.4,0.5,1,- ,-1,0.8,9.8,-0.5,2.4,-1.2,0.2,-0.3,0.1,- ,- ,0.3,- ,- ,0.3,-0.3,1.9,1.8,-0.6,-2,0.9,0.2,0.1
d02-2,1999DD      ,7.0,1.0,,30.0,,1999100000,1999年度,13100,東京都区部,,-0.6,-1.6,-0.9,-5.2,-6,-0.2,-0.3,-0.6,0.4,-1.5,0.9,-1.4,-1.5,0.3,0.2,-0.1,-0.1,- ,0.4,0,-1.7,0.3,0.6,0,0.3,0,0.1,- ,- ,0.8,- ,- ,0,-0.5,0,1.4,-0.7,-1.9,-1.7,-1.5,-1.5
d02-2,2000DD      ,7.0,1.0,,31.0,,2000100000,2000年度,13100,東京都区部,,-0.9,-0.9,-0.6,-2.5,-2.2,-3.8,-4.4,-0.9,-0.7,-0.5,4.4,-3.1,1.1,0.2,-1,-0.6,-0.3,- ,2.6,0.1,0,0.1,1.3,-0.1,-0.8,-1.6,-1,- ,- ,-1.9,- ,- ,-0.2,0.7,4.1,0.9,0.4,-3.6,-0.4,-0.8,-0.2
d02-2,2001DD      ,7.0,1.0,,32.0,,2001100000,2001年度,13100,東京都区部,,-1.3,-2.1,-1.7,-3.1,-3.2,-2,-2.1,-2.4,-0.7,-2.7,0.2,-4,0,0.2,-0.7,-0.3,-0.3,- ,1.9,1.9,1.9,-2.1,1.7,-0.4,-0.7,-0.5,-0.6,- ,- ,-1.5,- ,- ,-0.1,-0.5,0,0.8,-0.5,-8.9,-2,-1.2,-0.2
d02-2,2002DD      ,7.0,1.0,,33.0,,2002100000,2002年度,13100,東京都区部,,-0.7,-1,-1.6,2.6,2.9,-0.1,-0.1,-1.5,-0.6,-1.4,-0.9,-2.8,-3.6,0.2,-0.3,0,0.1,- ,1.5,0.4,-0.1,-0.1,2.5,-1.3,-0.5,0.4,-0.9,- ,- ,-1.1,- ,- ,0,-0.6,-0.4,1.1,-0.2,-5.7,-1.3,-0.4,-0.9
